"COMCOD",COURSE NO.,COURSE TITLE,CREDIT,SEC,INSTRUCTOR-IN-CHARGE / Instructor,ROOM,DAYS & HOURS,"COMMONHOUR","COMPREDATE &SESSION",,
"",,,L,P,U,,,,,,
1001,BIO F110,BIOLOGY LABORATORY,-,-,1,P1B,B Vani,,Th  10 11,,
"",,,,,,,Nilanjana Mani(RS),,,,
"",,,,,,P1N,Sonakshi Puri(RS),,T  7 8,,
"",,,,,,P2N,Saurabh Singh(RS),,T  7 8,,
"",,,,,,P3N,Sayantani Chatterjee(RS),,T  7 8,,
"",,,,,,P4N,Sumukh Thakar(RS),,T  7 8,,
"",,,,,,P5N,Ankita Sharma(RS),,T  7 8,,
"",,,,,,P6N,Aishwarya Singh(RS),,T  7 8,,
"",,,,,,P7N,Propanna Bandyopadhyay(RS),,T  7 8,,
"",,,,,,P8N,Gunjan(RS),,T  7 8,,
"",,,,,,P9N,Sumukh Thakar(RS),,T  9 10,,
"",,,,,,P10N,Ankita Sharma(RS),,T  9 10,,
"",,,,,,P11N,SANDHYA AMOL MARATHE,,T  9 10,,
"",,,,,,,Sayantani Chatterjee(RS),,,,
"",,,,,,P12N,Harshita Sharma(RS),,T  9 10,,
"",,,,,,P13N,Meghana Tare,,T  9 10,,
"",,,,,,,Debolina Chatterjee(RS),,,,
"",,,,,,P14N,Hansa Sehgal(RS),,T  9 10,,
"",,,,,,P15N,Priyanka Roy(RS),,T  9 10,,
"",,,,,,P16N,Sonakshi Puri(RS),,Th  9 10,,
"",,,,,,P17N,Saurabh Singh(RS),,Th  9 10,,
"",,,,,,P18N,Balakumaran Chandrasekar,,Th  9 10,,
"",,,,,,,Kunal Malik(RS),,,,
"",,,,,,P19N,B Vani,,Th  9 10,,
"",,,,,,P20N,Hansa Sehgal(RS),,Th  9 10,,
"COMCOD",COURSE NO.,COURSE TITLE,CREDIT,SEC,INSTRUCTOR-IN-CHARGE / Instructor,ROOM,DAYS & HOURS,"COMMONHOUR","COMPREDATE &SESSION",,
"",,,L,P,U,,,,,,
"",,,,,,P21N,Priyanka Roy(RS),,Th  9 10,,
"",,,,,,P22N,Gunjan(RS),,Th  9 10,,
1002,BIO F111,GENERAL BIOLOGY,-,-,3,L1B,B Vani,6103,M W F  2,,20/12 FN
"",,,,,,L2N,RAJDEEP CHOWDHURY,,M W F  2,,19/01 AN
"",,,,,,,Mukul Joshi,,,,
"",,,,,,,Syamantak Majumder,,,,
"",,,,,,L3N,Rajdeep Chowdhury,,M W F  9,,19/01 AN
"",,,,,,,Mukul Joshi,,,,
"",,,,,,,Syamantak Majumder,,,,
"",,Tutorial,,,,T1B,B Vani,6101,Th  7,,
"",,,,,,T2N,Balakumaran Chandrasekar,,F  4,,
"",,,,,,T3N,Vishalakshi Bhanot(RS),,F  4,,
"",,,,,,T4N,Ashish Katyal(RS),,F  4,,
"",,,,,,T5N,Ashima Sakhuja(RS),,M  4,,
"",,,,,,T6N,Abhilasha Srivastava(RS),,M  4,,
"",,,,,,T7N,Niyati Kamlesh Pandya(RS),,M  4,,
"",,,,,,T8N,Mukul Joshi,,Th  4,,
"",,,,,,,S.ramakrishnan(RS),,,,
"",,,,,,T9N,Prabhat Nath Jha,,Th  7,,
"",,,,,,,Chinmay Nayak(RS),,,,
"",,,,,,T10N,Shreyas M Iyer(RS),,Th  7,,
"",,,,,,T11N,Rita Sharma,,W  4,,
"",,,,,,,Farhanur Rahman(RS),,,,
"",,,,,,T12N,B Vani,,W  4,,
"",,,,,,T13N,Samiksha Agrawal(RS),,W  4,,
"COMCOD",COURSE NO.,COURSE TITLE,CREDIT,SEC,INSTRUCTOR-IN-CHARGE / Instructor,ROOM,DAYS & HOURS,"COMMONHOUR","COMPREDATE &SESSION",,
"",,,L,P,U,,,,,,
1112,BIO F211,BIOLOGICAL CHEMISTRY,-,-,3,L1,MEGHANA TARE,6109,T Th  4  W  10,,17/12 FN
"",,Tutorial,,,,T1,Meghana Tare,6105,M  1,,
1114,BIO F212,MICROBIOLOGY,-,-,4,L1,PRABHAT NATH JHA,6109,M  10  T Th  3,,28/12 FN
"",,,,,,,Sandhya Amol Marathe,,,,
"",,Practical,,,,P1,Sukriti Gujarati(RS),,Th  7 8,,
"",,,,,,,"Kushwaha Simran KrishnakantSeema(RS)",,,,
"",,,,,,,Palak Sangal(RS),,,,
"",,,,,,,Shreya Bhatnagar(RS),,,,
"",,,,,,P2,Divya Malik(RS),,Th  7 8,,
"",,,,,,,"Kushwaha Simran KrishnakantSeema(RS)",,,,
"",,,,,,,Palak Sangal(RS),,,,
"",,,,,,,Sampreeti Tahbildar(RS),,,,
"",,,,,,,Katakia Yash Tushar(RS),,,,
1113,BIO F213,CELL BIOLOGY,-,-,3,L1,SHILPI GARG,6155,M W F  9,,13/12 FN
"",,,,,,,Balakumaran Chandrasekar,,,,
"",,Tutorial,,,,T1,Shilpi Garg,6105,Th  1,,
"",,,,,,,Balakumaran Chandrasekar,,,,
1115,BIO F214,INTEGRATED BIOLOGY,-,-,3,L1,PANKAJ KUMAR SHARMA,6109,M W F  3,,22/12 FN
"",,Tutorial,,,,T1,Pankaj Kumar Sharma,6105,F  1,,
1430,BIO F242,INTRO TO BIOINFORMATICS,-,-,3,L1,SHIBASISH CHOWDHURY,,T Th  4  W  10,,17/12 FN
"",,Tutorial,,,,T1,Shibasish Chowdhury,,T  9,,
1651,BIO F266,STUDY PROJECT,-,-,3,L1,P R DEEPA,,,,
1427,BIO F311,RECOMBINANT DNA TECH,-,-,3,L1,RITA SHARMA,6102,M W F  8,,24/12 FN
"",,,,,,,Ashis Kumar Das,,,,
"",,Tutorial,,,,T1,Rita Sharma,6159,F  5,,
"COMCOD",COURSE NO.,COURSE TITLE,CREDIT,SEC,INSTRUCTOR-IN-CHARGE / Instructor,ROOM,DAYS & HOURS,"COMMONHOUR","COMPREDATE &SESSION",,
"",,,L,P,U,,,,,,
1428,BIO F312,PLANT PHYSIOLOGY,-,-,3,L1,JITENDRA PANWAR,6109,M W F  4,,27/12 FN
"",,Tutorial,,,,T1,Jitendra Panwar,6159,Th  2,,
1429,BIO F313,ANIMAL PHYSIOLOGY,-,-,3,L1,SYAMANTAK MAJUMDER,6109,T Th  5  F  10,,18/12 FN
"",,,,,,,Shilpi Garg,,,,
"",,Tutorial,,,,T1,Syamantak Majumder,6156,T  2,,
"",,,,,,,Shilpi Garg,,,,
1431,BIO F341,DEVELOPMENTAL BIOLOGY,-,-,3,L1,MEGHANA TARE,,M W F  7,,23/12 FN
"",,Tutorial,,,,T1,Meghana Tare,,Th  9,,
1650,BIO F366,LABORATORY PROJECT,-,-,3,L1,P R DEEPA,,,,
1736,BIO F367,LABORATORY PROJECT,-,-,3,L1,P R DEEPA,,,,
1685,BIO F376,DESIGN PROJECT,-,-,3,L1,P R DEEPA,,,,
1752,BIO F377,DESIGN PROJECT,-,-,3,L1,P R DEEPA,,,,
1433,BIO F417,BIOMOLECULAR MODELING,-,-,3,L1,SHIBASISH CHOWDHURY,6103,M W F  7,,23/12 FN
1434,BIO F418,GENETIC ENGINEERING TECH,-,-,4,L1N,MUKUL JOSHI,,T  2,,24/12 AN
"",,Practical,,,,P1N,Mukul Joshi,,T Th  7 8,,
"",,,,,,,Sandhya Amol Marathe,,,,
"",,,,,,,Ankita Daiya(RS),,,,
