COMCOD,SEC,ROOM,DAYS_&_HOURS
1001.0,P1B,,Th  10 11
1001.0,P1N,,T  7 8
1001.0,P2N,,T  7 8
1001.0,P3N,,T  7 8
1001.0,P4N,,T  7 8
1001.0,P5N,,T  7 8
1001.0,P6N,,T  7 8
1001.0,P7N,,T  7 8
1001.0,P8N,,T  7 8
1001.0,P9N,,T  9 10
1001.0,P10N,,T  9 10
1001.0,P11N,,T  9 10
1001.0,P12N,,T  9 10
1001.0,P13N,,T  9 10
1001.0,P14N,,T  9 10
1001.0,P15N,,T  9 10
1001.0,P16N,,Th  9 10
1001.0,P17N,,Th  9 10
1001.0,P18N,,Th  9 10
1001.0,P19N,,Th  9 10
1001.0,P20N,,Th  9 10
1001.0,P21N,,Th  9 10
1001.0,P22N,,Th  9 10
1002.0,L1B,6103.0,M W F  2
1002.0,L2N,,M W F  2
1002.0,L3N,,M W F  9
1002.0,T1B,6101.0,Th  7
1002.0,T2N,,F  4
1002.0,T3N,,F  4
1002.0,T4N,,F  4
1002.0,T5N,,M  4
1002.0,T6N,,M  4
1002.0,T7N,,M  4
1002.0,T8N,,Th  4
1002.0,T9N,,Th  7
1002.0,T10N,,Th  7
1002.0,T11N,,W  4
1002.0,T12N,,W  4
1002.0,T13N,,W  4
1112.0,L1,6109.0,T Th  4  W  10
1112.0,T1,6105.0,M  1
1114.0,L1,6109.0,M  10  T Th  3
1114.0,P1,,Th  7 8
1114.0,P2,,Th  7 8
1113.0,L1,6155.0,M W F  9
1113.0,T1,6105.0,Th  1
1115.0,L1,6109.0,M W F  3
1115.0,T1,6105.0,F  1
1430.0,L1,,T Th  4  W  10
1430.0,T1,,T  9
1651.0,L1,,
1427.0,L1,6102.0,M W F  8
1427.0,T1,6159.0,F  5
1428.0,L1,6109.0,M W F  4
1428.0,T1,6159.0,Th  2
1429.0,L1,6109.0,T Th  5  F  10
1429.0,T1,6156.0,T  2
1431.0,L1,,M W F  7
1431.0,T1,,Th  9
1650.0,L1,,
1736.0,L1,,
1685.0,L1,,
1752.0,L1,,
1433.0,L1,6103.0,M W F  7
1434.0,L1N,,T  2
1434.0,P1N,,T Th  7 8
1436.0,L1,6160.0,M  10  T Th  3
1710.0,L1,,
71.0,L1N,6101.0,M W F  3
388.0,L1,6102.0,T Th  4  W  10
392.0,L1,6160.0,M W F  3
111.0,L1,6102.0,M  10  T Th  3
2009.0,L1,6101.0,M W F  4
2008.0,L1N,,M W F  4
2008.0,P1N,,M  9 10
192.0,L1,6108.0,T Th  4  W  10
2015.0,L1,1202.0,M W F  2
151.0,L1N,,T Th  5  F  10
1887.0,L1,,
2016.0,L1,6159.0,M W F  2
1375.0,L1,6160.0,M W F  7
549.0,L1,,
596.0,L1,,
520.0,L1,,
553.0,L1,,
857.0,L1,,
1003.0,L1B,6157.0,M  10
1003.0,L2N,,W  10
1003.0,L3N,,M  10
1003.0,P1B,,T Th  2 3
1003.0,P2N,,T Th  1 2
1003.0,P3N,,T Th  1 2
1003.0,P4N,,T Th  1 2
1003.0,P5N,,T Th  1 2
1003.0,P6N,,T Th  1 2
1003.0,P7N,,T Th  1 2
1003.0,P8N,,T Th  1 2
1003.0,P9N,,T Th  1 2
1004.0,L1B,6101.0,M W F  7
1004.0,L2N,,M W F  3
1004.0,L3N,,M W F  8
1004.0,L4N,,T Th  5  F  10
1004.0,T1B,6101.0,Th  10
1004.0,T2N,,F  1
1004.0,T3N,,F  1
1004.0,T5N,,F  1
1004.0,T6N,,Th  8
1004.0,T7N,,M  1
1004.0,T8N,,M  1
1004.0,T10N,,M  1
1004.0,T11N,,M  1
1004.0,T12N,,Th  8
1004.0,T14N,,F  1
1004.0,T15N,,Th  8
1004.0,T16N,,Th  8
1004.0,T17N,,Th  8
1004.0,T18N,,Th  8
1004.0,T19N,,W  1
